role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Elijah Cummings,D,MD-7,@RepCummings,RepCummings,787373558,228380,,,,,
representative,Rep. Jamie Raskin,D,MD-8,@repraskin,RepRaskin,8.06906E+17,31331,,,,,
representative,Rep. Chellie Pingree,D,ME-1,@ChelliePingree,chelliepingree,14984637,23036,,,,,
representative,Rep. Bruce Poliquin,R,ME-2,@RepPoliquin,RepPoliquin,2932617195,9473,,,,,
representative,Rep. Jackie Bergman,R,MI-1,@RepJackBergman,RepJackBergman,8.15242E+17,5607,,,,,
representative,Rep. Bill Huizenga,R,MI-2,@RepHuizenga,RepHuizenga,233949261,18084,,,,,
representative,Rep. Justin Amash,R,MI-3,@justinamash,justinamash,233842454,142216,,,,,
representative,Rep. John Moolenaar,R,MI-4,@RepMoolenaar,RepMoolenaar,2696643955,9000,,,,,
representative,Rep. Daniel Kildee,D,MI-5,@RepDanKildee,RepDanKildee,1045110018,32823,,,,,
representative,Rep. Fred Upton,R,MI-6,@RepFredUpton,RepFredUpton,124224165,22973,,,,,
representative,Rep. Tim Walberg,R,MI-7,@RepWalberg,RepWalberg,237862972,15320,,,,,
representative,Rep. Mike Bishop,R,MI-8,@RepMikeBishop,RepMikeBishop,2914571740,13294,,,,,
representative,Rep. Sander Levin,D,MI-9,@RepSandyLevin,repsandylevin,25781141,26574,,,,,
representative,Rep. Paul Mitchell,R,MI-10,@RepPaulMitchell,RepPaulMitchell,8.11633E+17,4235,,,,,
representative,Rep. Dave Trott,R,MI-11,@repdavetrott,RepDaveTrott,2869746172,14021,,,,,
representative,Rep. Debbie Dingell,D,MI-12,@RepDebDingell,RepDebDingell,2970279814,33898,,,,,
representative,Rep. John Conyers,D,MI-13,@RepJohnConyers,RepJohnConyers,138770045,42758,,,,,
representative,Rep. Brenda Lawrence,D,MI-14,@RepLawrence,RepLawrence,2863006655,11751,,,,,
representative,Rep. Timothy Walz,D,MN-1,@RepTimWalz,RepTimWalz,1262814457,28122,,,,,
representative,Rep. Jason Lewis,R,MN-2,@RepJasonLewis,RepJasonLewis,8.16047E+17,8990,,,,,
representative,Rep. Erik Paulsen,R,MN-3,@RepErikPaulsen,RepErikPaulsen,17513304,20254,,,,,
representative,Rep. Betty McCollum,D,MN-4,@BettyMcCollum04,BettyMcCollum04,516880804,26988,,,,,
representative,Rep. Keith Ellison,D,MN-5,@KeithEllison,keithellison,14135426,370564,,,,,
representative,Rep. Tom Emmer,R,MN-6,@RepTomEmmer,RepTomEmmer,2914515430,11037,,,,,
representative,Rep. Collin Peterson,D,MN-7,@collinpeterson,collinpeterson,115676070,1938,,,,,
representative,Rep. Richard Nolan,D,MN-8,@USRepRickNolan,USRepRickNolan,1055685948,12543,,,,,
representative,Rep. Wm. Clay,D,MO-1,@LacyClayMO1,LacyClayMO1,584912320,8483,,,,,
representative,Rep. Ann Wagner,R,MO-2,@RepAnnWagner,RepAnnWagner,1051446626,18920,,,,,
representative,Rep. Blaine Luetkemeyer,R,MO-3,@RepBlaine,RepBlaine,1849261916,10962,,,,,
representative,Rep. Vicky Hartzler,R,MO-4,@RepHartzler,RepHartzler,237763317,19770,,,,,
